
Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
Zylon		 Probezeit	 1320	[3:113:4]	 02.07.2014	 On	


Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
dywk		 Imperator	 0	[8:130:12]	 27.06.2014	 1t	
baal the dark		 Imperator	 73	[2:31:6]	 27.06.2014	 27 Min.	
W4R_MaChINE		 Gründer	 78	[1:116:4]	 27.06.2014	 On	
Mursana		 Imperator	 83	[1:222:6]	 27.06.2014	 On	
trendsetter		 Imperator	 110	[3:114:6]	 01.07.2014	 17 Min.	
pArmEsAnEXpErtE		 Imperator	 145	[1:421:9]	 27.06.2014	 Off	
SuaveTheDon		 -XO-	 168	[9:463:4]	 27.06.2014	 On	
varus		 Imperator	 329	[3:250:8]	 27.06.2014	 On	
luckybone		 Probezeit	 353	[1:335:4]	 08.07.2014	 Off	
Blesur		 Probezeit	 358	[2:105:8]	 04.07.2014	 Off	
Gajeel		 Imperator	 375	[2:100:5]	 05.07.2014	 Off	
Steveboo		 Imperator	 408	[2:373:4]	 01.07.2014	 On	
ARMAGEDON		 Imperator	 426	[1:345:6]	 27.06.2014	 51 Min.	
reb0RN		 Imperator	 441	[8:129:9]	 27.06.2014	 44 Min.	
blindi		 Probezeit	 460	[1:363:6]	 03.07.2014	 On	
Killsort		 Probezeit	 537	[1:82:12]	 02.07.2014	 On	
g4f		 Imperator	 606	[1:272:4]	 27.06.2014	 50 Min.	
smokingz		 Imperator	 607	[1:376:4]	 27.06.2014	 On	
Philanthrop		 Imperator	 704	[1:363:4]	 03.07.2014	 Off	
Wrong Destiny		 Imperator	 812	[1:50:6]	 28.06.2014	 Off	
Starchild		 Imperator	 853	[1:28:7]	 27.06.2014	 On	
Trykonosis		 Probezeit	 883	[1:324:10]	 06.07.2014	 On	
blacklord999		 Imperator	 1027	[2:20:10]	 27.06.2014	 2t	
KrueMelChen		 Imperator	 1162	[2:23:4]	 27.06.2014	 Off	
Zylon		 Imperator	 1276	[3:113:4]	 02.07.2014	 On	


Name		 Rang	 Platz	 Koord	 Beitritt	 Online	 Funktion
W4R_MaChINE		 Gründer	 78	[1:116:4]	 27.06.2014	 On	
Mursana		 Imperator	 79	[1:222:6]	 27.06.2014	 51 Min.	
baal the dark		 Imperator	 84	[2:31:6]	 27.06.2014	 On	
trendsetter		 Imperator	 102	[3:114:6]	 01.07.2014	 On	
pArmEsAnEXpErtE		 Imperator	 123	[1:421:9]	 27.06.2014	 On	
SuaveTheDon		 -XO-	 161	[9:463:4]	 27.06.2014	 On	
dywk		 Imperator	 241	[8:130:12]	 27.06.2014	 27 Min.	
Steveboo		 Imperator	 307	[2:373:4]	 01.07.2014	 On	
varus		 Imperator	 329	[3:250:8]	 27.06.2014	 Off	
Gajeel		 Imperator	 357	[2:100:5]	 05.07.2014	 36 Min.	
